,collection_id,total_supply,creation_date,verification_status,n_of_traits,contract_type,seller_fees,platform_fees,openrarity_enabled,has_website,has_own_twitter,has_discord,has_medium
0,19,1000,2021-04,verified,4,own,500,250,False,False,True,True,True
1,45,8888,2021-07,verified,5,own,500,250,False,False,True,True,False
2,44,10000,2022-04,verified,8,own,500,250,True,False,True,True,False
3,53,9999,2022-07,verified,9,own,900,250,False,False,True,True,False
4,6,9602,2021-06,verified,8,own,,250,False,False,True,True,False
5,59,9508,2021-11,verified,1,own,500,250,False,False,True,True,False
6,49,1,2022-04,verified,2,own,1000,250,False,False,True,True,False
7,60,420,2022-06,verified,1,own,900,250,False,False,True,True,False
8,23,9998,2021-08,verified,14,own,500,250,False,False,True,True,False
9,29,9999,2022-05,verified,10,own,750,250,False,False,True,False,False
10,51,5079,2022-07,verified,14,own,750,250,False,False,True,True,False
11,1,15000,2022-04,verified,12,own,500,250,True,False,True,True,False
12,37,8888,2022-03,verified,8,own,800,250,True,False,True,True,True
13,34,5555,2022-02,verified,9,own,550,250,True,False,True,True,False
14,7,9998,2021-04,verified,7,own,250,250,False,False,True,True,False
15,24,2501,2021-12,approved,14,default,750,250,False,False,True,True,False
16,8,9654,2021-03,verified,13,default,800,250,False,False,True,True,False
17,36,24919,2021-09,approved,11,default,1000,250,False,False,True,True,False
18,39,58351,2021-10,approved,8,own,500,250,False,False,True,False,False
19,3,9124,2021-01,approved,26,default,1000,250,False,False,True,True,True
20,18,10000,2022-01,approved,10,default,900,250,False,False,True,False,False
21,25,4000,2021-08,approved,27,default,750,250,False,False,True,True,False
22,4,9000,2022-02,approved,8,default,900,250,False,False,True,False,False
23,2,20279,2021-07,approved,7,default,200,250,False,False,True,False,False
24,26,10000,2022-01,approved,9,default,900,250,False,False,True,False,False
25,10,3331,2022-02,approved,12,own,500,250,True,False,True,True,False
26,15,7993,2021-02,approved,10,default,800,250,False,False,True,False,False
27,41,4961,2021-10,approved,15,default,1000,250,False,False,True,False,False
28,5,8881,2021-03,approved,8,default,900,250,False,False,True,True,False
29,42,22134,2021-01,approved,80,default,700,250,False,False,True,True,True
30,48,5499,2022-06,verified,9,own,1000,250,False,False,True,True,False
31,46,29899,2021-08,approved,11,default,250,250,False,False,True,False,False
32,13,23091,2022-03,approved,8,default,,250,False,False,True,False,False
33,54,9997,2021-11,verified,19,own,750,250,True,False,True,True,False
34,28,9996,2022-06,verified,14,own,250,250,True,False,True,True,False
35,58,12505,2022-04,verified,6,own,1000,250,True,False,True,True,False
36,35,25487,2021-05,approved,9,default,1000,250,False,False,True,False,False
37,38,5555,2022-07,verified,10,own,500,250,True,False,True,True,False
38,30,5022,2022-06,verified,8,own,1000,250,False,False,True,True,False
39,57,3900,2021-11,verified,14,own,1000,250,False,False,True,True,False
40,47,5267,2022-06,verified,0,own,750,250,True,False,True,True,False
41,31,10000,2021-12,verified,13,default,1000,250,False,False,True,True,False
42,43,7777,2022-07,verified,16,own,500,250,False,False,True,True,True
43,50,9999,2021-12,approved,8,own,1000,250,True,False,True,True,False
44,27,10000,2022-02,verified,18,own,500,250,True,False,True,True,False
45,14,6969,2021-10,verified,11,own,750,250,False,False,True,True,True
46,0,6501,2022-04,verified,31,own,500,250,False,False,True,True,True
47,22,10000,2022-01,approved,5,own,500,250,True,False,True,True,False
