,collection_id,n_tweets_in_range,avg_likes,avg_replies,avg_retweets,min_likes,min_replies,min_retweets,max_likes,max_replies,max_retweets
0,0,2,183.0,8.5,41.0,123,3,6,243,14,76
1,1,16,36.375,3.5625,13.9375,0,0,0,125,21,34
2,2,1,15.0,9.0,1.0,15,9,1,15,9,1
3,3,526,1.1787072243346008,0.3060836501901141,2.655893536121673,0,0,0,21,8,13
4,4,26,8.153846153846153,0.8846153846153846,1.1538461538461537,0,0,0,30,6,12
5,5,19,7.842105263157895,5.157894736842105,4.0,0,0,0,67,75,55
6,6,12,0.0,0.0,111.83333333333333,0,0,31,0,0,463
7,7,12,0.0,0.0,111.83333333333333,0,0,31,0,0,463
8,8,40,8.075,3.45,3.25,0,0,0,91,96,88
9,10,3,4.0,0.6666666666666666,1.3333333333333333,0,0,1,12,2,2
10,13,1,12.0,4.0,1.0,12,4,1,12,4,1
11,14,19,10.526315789473685,0.9473684210526315,10.368421052631579,0,0,1,62,6,22
12,15,18,10.166666666666666,1.5555555555555556,1.3333333333333333,2,0,0,47,12,11
13,18,26,8.153846153846153,0.8846153846153846,1.1538461538461537,0,0,0,30,6,12
14,19,11,43.45454545454545,5.454545454545454,94.27272727272727,0,0,36,239,30,258
15,22,5,48.6,6.6,12.4,16,2,2,169,24,46
16,23,35,50.94285714285714,4.228571428571429,9.628571428571428,0,0,0,202,41,69
17,24,11,4.909090909090909,0.7272727272727273,2.0,0,0,0,15,3,5
18,25,43,24.209302325581394,3.9069767441860463,37.48837209302326,0,0,0,193,27,874
19,26,40,8.075,3.45,3.25,0,0,0,91,96,88
20,27,36,27.88888888888889,7.5,16.52777777777778,0,0,1,228,185,159
21,28,5,9.2,1.4,6.2,0,0,1,26,4,12
22,29,2,340.5,68.5,109.0,0,0,11,681,137,207
23,30,13,316.6923076923077,50.61538461538461,184.53846153846155,99,9,40,540,121,359
24,31,151,7.026490066225166,1.728476821192053,5.079470198675497,0,0,1,23,10,24
25,34,9,60.888888888888886,9.444444444444445,36.22222222222222,0,0,3,311,69,92
26,35,1,10.0,9.0,3.0,10,9,3,10,9,3
27,36,5,2.0,0.2,0.4,0,0,0,5,1,1
28,37,8,76.0,17.0,29.75,0,0,6,155,47,51
29,38,4,256.5,45.0,78.0,0,0,24,459,101,135
30,39,3,11.333333333333334,5.333333333333333,0.3333333333333333,9,2,0,15,9,1
31,41,116,1.4655172413793103,0.28448275862068967,3.2327586206896552,0,0,0,11,4,24
32,42,668,1.2529940119760479,0.3023952095808383,0.3143712574850299,0,0,0,80,6,13
33,43,15,241.0,22.2,74.86666666666666,0,0,21,513,41,131
34,44,7,593.7142857142857,80.28571428571429,110.28571428571429,94,43,14,1532,153,386
35,45,11,133.1818181818182,13.454545454545455,55.18181818181818,0,0,7,402,47,239
36,46,1,2.0,0.0,0.0,2,0,0,2,0,0
37,47,41,54.80487804878049,6.2439024390243905,27.414634146341463,0,0,3,315,49,143
38,48,3,19.0,8.666666666666666,14.666666666666666,12,3,9,28,13,22
39,49,31,187.96774193548387,8.290322580645162,60.935483870967744,0,0,2,591,28,380
40,50,3,227.33333333333334,61.333333333333336,103.0,116,52,37,297,74,162
41,51,18,7.555555555555555,0.8888888888888888,8.166666666666666,0,0,1,56,7,43
42,53,8,707.875,103.875,314.0,236,26,46,1381,242,873
43,54,19,0.0,0.0,8.947368421052632,0,0,1,0,0,54
44,57,6,31.833333333333332,3.6666666666666665,22.666666666666668,0,0,5,84,21,51
45,58,3,6.666666666666667,1.6666666666666667,5.333333333333333,0,0,4,20,5,6
46,59,15,591.2,353.4,442.0,0,0,2,5079,2601,2990
47,60,8,707.875,103.875,314.0,236,26,46,1381,242,873
